target_family,source_or_model,temperature_C,species_or_property,metric,threshold,actual_value,passes,claim_allowed,failure_reason,recommended_manuscript_use,target_role
pressure,legacy_pcsaft_smith_missen,120,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.2869942186634905,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,40,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,195.3506819152976,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,neutral_epcsaft_parity,40,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.3915572927726279,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,neutral_epcsaft_parity,40,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.4930860619816395,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,neutral_epcsaft_parity,40,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.79477174026627,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,neutral_epcsaft_parity,60,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,81.87866826478613,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,neutral_epcsaft_parity,60,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.3060402643752585,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,neutral_epcsaft_parity,60,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.3478656667903645,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,neutral_epcsaft_parity,60,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.5513904045593623,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,neutral_epcsaft_parity,80,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,39.70727376594196,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,80,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.1541655653449435,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,80,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.2470778580459012,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,80,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.4459802517260511,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,100,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,31.846276802231817,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,100,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.0550353221903267,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,100,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.1611442060515646,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,100,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.3093506390610227,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,120,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,21.16712277540276,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,120,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.07842251543644935,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,120,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.14770033325606513,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,120,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.2869942173562245,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,overall,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,68.97016214885619,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,overall,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.160073413900411,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,overall,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.2973915086392612,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,overall,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.7947721707879503,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,overall,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,68.97014207398973,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,overall,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.1600734127577835,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,overall,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.2973914712215188,true,true,,retained baseline pressure comparison,
pressure,neutral_epcsaft_parity,overall,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.79477174026627,true,true,,retained baseline pressure comparison,
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,CO2,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.40404211090594044,true,false,trace species is solved and plotted but is not used as major-species validation evidence,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,CO2,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.4485870307643793,true,false,trace species is solved and plotted but is not used as major-species validation evidence,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,CO2,RMSE_log10,reported; no independent pass threshold,0.5171185067294017,true,false,trace species is solved and plotted but is not used as major-species validation evidence,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,CO3^2-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.35923926730161015,true,false,trace species is solved and plotted but is not used as major-species validation evidence,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,CO3^2-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.5053332712450702,true,false,trace species is solved and plotted but is not used as major-species validation evidence,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,CO3^2-,RMSE_log10,reported; no independent pass threshold,0.6499082808928879,true,false,trace species is solved and plotted but is not used as major-species validation evidence,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,HCO3-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.4348895942229869,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,HCO3-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.5176343970691082,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,HCO3-,RMSE_log10,reported; no independent pass threshold,0.660375174747123,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEA,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.049362282346975046,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEA,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.09814573012790617,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEA,RMSE_log10,reported; no independent pass threshold,0.1836966741708681,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEA + MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.007384037981810267,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEA + MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.016432025585404582,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEA + MEAH+,RMSE_log10,reported; no independent pass threshold,0.024872756718238447,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEACOO-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.025595932485540582,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEACOO-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.0413730263521405,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEACOO-,RMSE_log10,reported; no independent pass threshold,0.07211635014766818,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.04130042455100311,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.05737727078208918,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,20.0,MEAH+,RMSE_log10,reported; no independent pass threshold,0.07089578665494124,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,CO2,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.7001412722278157,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,CO2,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.7001412722278157,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,CO2,RMSE_log10,reported; no independent pass threshold,0.7002755854357436,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,CO3^2-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.6070223694017841,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,CO3^2-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.6508687503828832,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,CO3^2-,RMSE_log10,reported; no independent pass threshold,0.760842562665618,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,HCO3-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.07981605894734839,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,HCO3-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.1450070049486088,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,HCO3-,RMSE_log10,reported; no independent pass threshold,0.23962942361412784,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEA,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.13129501412554936,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEA,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.2228580097123591,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEA,RMSE_log10,reported; no independent pass threshold,0.34195495749327176,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEA + MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.010002387853740769,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEA + MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.018737427509045917,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEA + MEAH+,RMSE_log10,reported; no independent pass threshold,0.026913917970502545,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEACOO-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.03206472396107435,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEACOO-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.059578065991999433,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEACOO-,RMSE_log10,reported; no independent pass threshold,0.08622947629278224,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.08085761639250733,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.11147428919793247,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,40.0,MEAH+,RMSE_log10,reported; no independent pass threshold,0.14138613765070718,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,CO2,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.6404215310374799,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,CO2,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.5324384445855248,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,CO2,RMSE_log10,reported; no independent pass threshold,0.584582185713713,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,CO3^2-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.5027742226696814,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,CO3^2-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.5781010108139767,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,CO3^2-,RMSE_log10,reported; no independent pass threshold,0.7075528880361996,false,false,trace species residual gate failed,do not cite as major validated species evidence,trace_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,HCO3-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.22702772589837067,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,HCO3-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.40422606033678227,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,HCO3-,RMSE_log10,reported; no independent pass threshold,0.5664336089646367,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEA,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.05474052974914946,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEA,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.12665139403292397,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEA,RMSE_log10,reported; no independent pass threshold,0.2296933472743065,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEA + MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.008659195019061962,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEA + MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.01723891625867905,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEA + MEAH+,RMSE_log10,reported; no independent pass threshold,0.025605678287834287,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEACOO-,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.02922366885400924,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEACOO-,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.04774479022609113,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEACOO-,RMSE_log10,reported; no independent pass threshold,0.07734941549041159,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEAH+,median_abs_log10_error,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.04402188947053536,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEAH+,mae_log10,median_abs_log10_error <= 0.50 AND mae_log10 <= 0.75,0.06974230356285337,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,MEAH+,RMSE_log10,reported; no independent pass threshold,0.09190492892498005,true,true,,major-species retained baseline comparison,major_fit_or_validation_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,H3O+,not_evaluated,no direct observed Phase 1 reference data in current target table,,false,false,explicitly solved and plotted but not directly observed in Phase 1 reference rows,plot as equilibrium trace curve only; do not cite as observed validation evidence,explicitly_solved_unobserved_species
speciation,explicit_ideal_nine_species_smith_missen_solver,overall,OH-,not_evaluated,no direct observed Phase 1 reference data in current target table,,false,false,explicitly solved and plotted but not directly observed in Phase 1 reference rows,plot as equilibrium trace curve only; do not cite as observed validation evidence,explicitly_solved_unobserved_species
