record_id,component_id_a,component_id_b,family,value,unit,source_id,locator,domain_id
kij-carbon-dioxide-hydronium-cation,carbon-dioxide,hydronium-cation,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO2:column=H3O+:status=explicit-diagnostic,diagnostic-domain
kij-carbon-dioxide-hydroxide-anion,carbon-dioxide,hydroxide-anion,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO2:column=OH-:status=explicit-diagnostic,diagnostic-domain
kij-carbon-dioxide-monoethanolamine,carbon-dioxide,monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO2:column=MEA:status=explicit-diagnostic,diagnostic-domain
kij-carbon-dioxide-protonated-monoethanolamine,carbon-dioxide,protonated-monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO2:column=MEAH+:status=explicit-diagnostic,diagnostic-domain
kij-carbon-dioxide-water,carbon-dioxide,water,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO2:column=H2O:status=explicit-diagnostic,diagnostic-domain
kij-carbonate-anion-hydronium-cation,carbonate-anion,hydronium-cation,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO3^2-:column=H3O+:status=explicit-diagnostic,diagnostic-domain
kij-carbonate-anion-hydroxide-anion,carbonate-anion,hydroxide-anion,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO3^2-:column=OH-:status=explicit-diagnostic,diagnostic-domain
kij-hydronium-cation-hydroxide-anion,hydronium-cation,hydroxide-anion,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=H3O+:column=OH-:status=explicit-diagnostic,diagnostic-domain
kij-monoethanolamine-bicarbonate-anion,bicarbonate-anion,monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEA:column=HCO3-:status=explicit-diagnostic,diagnostic-domain
kij-monoethanolamine-carbamate-anion,carbamate-anion,monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEA:column=MEACOO-:status=explicit-diagnostic,diagnostic-domain
kij-monoethanolamine-carbonate-anion,carbonate-anion,monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEA:column=CO3^2-:status=explicit-diagnostic,diagnostic-domain
kij-monoethanolamine-hydronium-cation,hydronium-cation,monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEA:column=H3O+:status=explicit-diagnostic,diagnostic-domain
kij-monoethanolamine-hydroxide-anion,hydroxide-anion,monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEA:column=OH-:status=explicit-diagnostic,diagnostic-domain
kij-monoethanolamine-protonated-monoethanolamine,monoethanolamine,protonated-monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEA:column=MEAH+:status=explicit-diagnostic,diagnostic-domain
kij-monoethanolamine-water,monoethanolamine,water,k_ij,-0.052,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEA:column=H2O:status=explicit-diagnostic,diagnostic-domain
kij-protonated-monoethanolamine-bicarbonate-anion,bicarbonate-anion,protonated-monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEAH+:column=HCO3-:status=explicit-diagnostic,diagnostic-domain
kij-protonated-monoethanolamine-carbamate-anion,carbamate-anion,protonated-monoethanolamine,k_ij,-0.00201813457644,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEAH+:column=MEACOO-:status=provisional-historical-evaluation,diagnostic-domain
kij-protonated-monoethanolamine-carbonate-anion,carbonate-anion,protonated-monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEAH+:column=CO3^2-:status=explicit-diagnostic,diagnostic-domain
kij-protonated-monoethanolamine-hydronium-cation,hydronium-cation,protonated-monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEAH+:column=H3O+:status=explicit-diagnostic,diagnostic-domain
kij-protonated-monoethanolamine-hydroxide-anion,hydroxide-anion,protonated-monoethanolamine,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEAH+:column=OH-:status=explicit-diagnostic,diagnostic-domain
kij-water-bicarbonate-anion,bicarbonate-anion,water,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=H2O:column=HCO3-:status=explicit-diagnostic,diagnostic-domain
kij-water-carbamate-anion,carbamate-anion,water,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=H2O:column=MEACOO-:status=explicit-diagnostic,diagnostic-domain
kij-water-carbonate-anion,carbonate-anion,water,k_ij,-0.25,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=H2O:column=CO3^2-:status=explicit-diagnostic,diagnostic-domain
kij-water-hydronium-cation,hydronium-cation,water,k_ij,0.25,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=H2O:column=H3O+:status=explicit-diagnostic,diagnostic-domain
kij-water-hydroxide-anion,hydroxide-anion,water,k_ij,-0.25,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=H2O:column=OH-:status=explicit-diagnostic,diagnostic-domain
kij-water-protonated-monoethanolamine,protonated-monoethanolamine,water,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=H2O:column=MEAH+:status=explicit-diagnostic,diagnostic-domain
