source_key,row_status,temperature_C,pressure_bar,mea_mass_fraction,co2_loading_mol_per_mol_mea,species,value,value_basis,source_table_or_figure,source_line_start,source_line_end,notes
Wong2015,extracted,30,,0.30,0.4291,CO3^2-,0.1113,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.5262,CO3^2-,0.15478,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.6435,CO3^2-,0.2061,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.7476,CO3^2-,0.24398,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.8246,CO3^2-,0.31479,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.9722,CO3^2-,0.34682,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.0351,CO3^2-,0.42094,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1166,CO3^2-,0.39899,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1874,CO3^2-,0.39883,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.1266,HCO3-,0.048545,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.4291,HCO3-,0.14694,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.5269,HCO3-,0.82462,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.6436,HCO3-,1.2437,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,ambiguous,30,,0.30,0.7470,HCO3-,1.552,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis. partially overlapped marker reconstructed from split color-threshold components
Wong2015,extracted,30,,0.30,0.8245,HCO3-,1.8278,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.9725,HCO3-,2.0581,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.0344,HCO3-,2.2525,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1171,HCO3-,2.4997,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1877,HCO3-,2.7132,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.0007,MEAH+,0.38563,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.1271,MEAH+,0.92589,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.2273,MEAH+,1.2895,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.3318,MEAH+,1.3139,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,ambiguous,30,,0.30,0.4291,MEAH+,1.5597,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis. marker has nearby overlapping components
Wong2015,extracted,30,,0.30,0.5265,MEAH+,2.1766,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.6433,MEAH+,2.5577,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.7473,MEAH+,2.8217,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.8257,MEAH+,3.178,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.9732,MEAH+,3.5636,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.0349,MEAH+,3.8524,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1154,MEAH+,4.0081,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1860,MEAH+,4.2283,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.1266,MEACOO-,0.65137,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,ambiguous,30,,0.30,0.2287,MEACOO-,1.0852,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis. marker split by thresholding; center averaged from adjacent components
Wong2015,extracted,30,,0.30,0.3310,MEACOO-,1.665,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.4287,MEACOO-,1.9742,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.5270,MEACOO-,1.6522,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.6433,MEACOO-,1.5673,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.7469,MEACOO-,1.4123,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.8243,MEACOO-,1.2302,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.0347,MEACOO-,0.84659,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1165,MEACOO-,0.69315,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1877,MEACOO-,0.56806,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.0006,MEA,4.5748,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.1267,MEA,3.4856,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.2286,MEA,2.6923,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.3312,MEA,2.1189,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,ambiguous,30,,0.30,0.4290,MEA,1.5255,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis. marker split by thresholding; center averaged from adjacent components
Wong2015,extracted,30,,0.30,0.5268,MEA,1.2135,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.6432,MEA,0.92819,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.7469,MEA,0.81682,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,ambiguous,30,,0.30,0.8225,MEA,0.70629,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis. small visible component near overlapping orange and blue markers
Wong2015,extracted,30,,0.30,0.9727,MEA,0.46313,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.0348,MEA,0.3471,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1172,MEA,0.23648,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1879,MEA,0.10561,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
