phase,model_family,observable_family,source,species_or_property,target_role,state_count,target_count,solver_success_count,median_abs_log10,rmse_log10,max_abs_log10,max_model_mole_fraction_for_reported_zero,metric
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,HCO3-,direct_zero,1,1,1,,,,9.496908411722025e-06,max_model_mole_fraction_for_reported_zero
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,CO3^2-,direct_positive,16,16,16,0.5993177331979311,0.7747801661400058,1.4790529927126266,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,H3O+,balance_inferred,16,16,16,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,OH-,balance_inferred,16,16,16,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,MEA + MEAH+,aggregate_direct_positive,16,16,16,0.01859353542016208,0.03670193366101248,0.10138389436177193,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,all_speciation_states,state_record,19,19,19,,,,,state_accounting
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,CO2,balance_inferred,19,19,19,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,MEA,direct_positive,19,19,19,0.04951809219932142,0.24631452250829572,0.6992774211031363,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,MEAH+,direct_positive,19,19,19,0.030791878198083034,0.030588084875339257,0.03495852281788302,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,MEACOO-,direct_positive,19,19,19,0.05147629952415735,0.0598726768866665,0.09185895374572428,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,HCO3-,direct_positive,19,19,19,1.6731044260636212,1.6582935876520988,2.421452698241469,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,CO3^2-,balance_inferred,19,19,19,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,H3O+,balance_inferred,19,19,19,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,OH-,balance_inferred,19,19,19,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,MEA + MEAH+,aggregate_direct_positive,19,19,19,0.018691707209542753,0.01958473800263516,0.028267963308475204,,log10_model_over_target
