observation_id,source_key,source_file,source_row,source_table_or_figure,doi,MEA_weight_fraction,temperature_reported_C,temperature_canonical_C,temperature_normalized,CO2_loading,CO2_pressure,MEA_pressure,H2O_pressure,pressure_MEA_raoult,total_pressure,CO2_loading_uncertainty,CO2_pressure_uncertainty,replicate_group,normalization_group,active_view_member,active_row_id,lifecycle_status,disposition_reason,notes
vle_obs_0011,Aronu2011,Aronu_2011_VLE.csv,11,,,0.15,40,,no,0.45,0.7013,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0012,Aronu2011,Aronu_2011_VLE.csv,12,,,0.15,40,,no,0.516,4.8405,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0013,Aronu2011,Aronu_2011_VLE.csv,13,,,0.15,40,,no,0.529,7.8861,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0014,Aronu2011,Aronu_2011_VLE.csv,14,,,0.15,40,,no,0.565,16.0024,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0015,Aronu2011,Aronu_2011_VLE.csv,15,,,0.15,60,,no,0.048,0.0042,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0016,Aronu2011,Aronu_2011_VLE.csv,16,,,0.15,60,,no,0.06,0.0056,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0017,Aronu2011,Aronu_2011_VLE.csv,17,,,0.15,60,,no,0.075,0.0068,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0018,Aronu2011,Aronu_2011_VLE.csv,18,,,0.15,60,,no,0.069,0.0078,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0019,Aronu2011,Aronu_2011_VLE.csv,19,,,0.15,60,,no,0.098,0.0094,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0020,Aronu2011,Aronu_2011_VLE.csv,20,,,0.15,60,,no,0.135,0.0151,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0021,Aronu2011,Aronu_2011_VLE.csv,21,,,0.15,60,,no,0.144,0.0234,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0022,Aronu2011,Aronu_2011_VLE.csv,22,,,0.15,60,,no,0.175,0.0417,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0023,Aronu2011,Aronu_2011_VLE.csv,23,,,0.15,60,,no,0.23,0.0965,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0024,Aronu2011,Aronu_2011_VLE.csv,24,,,0.15,60,,no,0.253,0.1462,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0025,Aronu2011,Aronu_2011_VLE.csv,25,,,0.15,60,,no,0.415,1.7998,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0026,Aronu2011,Aronu_2011_VLE.csv,26,,,0.15,60,,no,0.48,5.409,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0027,Aronu2011,Aronu_2011_VLE.csv,27,,,0.15,60,,no,0.492,8.2297,,,,,,,Aronu2011|w=0.15|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0028,Aronu2011,Aronu_2011_VLE.csv,28,,,0.15,80,,no,0.103,0.0603,,,,,,,Aronu2011|w=0.15|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0029,Aronu2011,Aronu_2011_VLE.csv,29,,,0.15,80,,no,0.147,0.1315,,,,,,,Aronu2011|w=0.15|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0030,Aronu2011,Aronu_2011_VLE.csv,30,,,0.15,80,,no,0.211,0.3544,,,,,,,Aronu2011|w=0.15|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0031,Aronu2011,Aronu_2011_VLE.csv,31,,,0.15,80,,no,0.242,0.525,,,,,,,Aronu2011|w=0.15|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0032,Aronu2011,Aronu_2011_VLE.csv,32,,,0.15,80,,no,0.373,3.6374,,,,,,,Aronu2011|w=0.15|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0033,Aronu2011,Aronu_2011_VLE.csv,33,,,0.15,80,,no,0.409,6.3092,,,,,,,Aronu2011|w=0.15|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0034,Aronu2011,Aronu_2011_VLE.csv,34,,,0.3,40,40,no,0.102,0.0016,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0001,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0035,Aronu2011,Aronu_2011_VLE.csv,35,,,0.3,40,40,no,0.206,0.0123,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0002,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0036,Aronu2011,Aronu_2011_VLE.csv,36,,,0.3,40,40,no,0.25,0.0246,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0003,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0037,Aronu2011,Aronu_2011_VLE.csv,37,,,0.3,40,40,no,0.337,0.0603,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0004,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0038,Aronu2011,Aronu_2011_VLE.csv,38,,,0.3,40,40,no,0.353,0.0851,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0005,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0039,Aronu2011,Aronu_2011_VLE.csv,39,,,0.3,40,40,no,0.401,0.1835,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0006,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0040,Aronu2011,Aronu_2011_VLE.csv,40,,,0.3,40,40,no,0.417,0.2928,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0007,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0041,Aronu2011,Aronu_2011_VLE.csv,41,,,0.3,40,40,no,0.421,0.3188,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0008,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0042,Aronu2011,Aronu_2011_VLE.csv,42,,,0.3,40,40,no,0.433,0.3809,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0009,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0043,Aronu2011,Aronu_2011_VLE.csv,43,,,0.3,40,40,no,0.447,0.5702,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0010,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0044,Aronu2011,Aronu_2011_VLE.csv,44,,,0.3,40,40,no,0.464,1.0662,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0011,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0045,Aronu2011,Aronu_2011_VLE.csv,45,,,0.3,40,40,no,0.476,1.8326,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0012,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0046,Aronu2011,Aronu_2011_VLE.csv,46,,,0.3,40,40,no,0.477,1.8278,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0013,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0047,Aronu2011,Aronu_2011_VLE.csv,47,,,0.3,40,40,no,0.485,2.3193,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0014,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0048,Aronu2011,Aronu_2011_VLE.csv,48,,,0.3,40,40,no,0.489,2.8577,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0015,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0049,Aronu2011,Aronu_2011_VLE.csv,49,,,0.3,40,40,no,0.516,8.5583,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0016,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0050,Aronu2011,Aronu_2011_VLE.csv,50,,,0.3,40,40,no,0.524,11.812,,,,,,,Aronu2011|w=0.3|T=40,,yes,vle_0017,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0051,Aronu2011,Aronu_2011_VLE.csv,51,,,0.3,60,60,no,0.053,0.0045,,,,,,,Aronu2011|w=0.3|T=60,,yes,vle_0060,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0052,Aronu2011,Aronu_2011_VLE.csv,52,,,0.3,60,60,no,0.105,0.0154,,,,,,,Aronu2011|w=0.3|T=60,,yes,vle_0061,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0053,Aronu2011,Aronu_2011_VLE.csv,53,,,0.3,60,60,no,0.162,0.0427,,,,,,,Aronu2011|w=0.3|T=60,,yes,vle_0062,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0054,Aronu2011,Aronu_2011_VLE.csv,54,,,0.3,60,60,no,0.244,0.1348,,,,,,,Aronu2011|w=0.3|T=60,,yes,vle_0063,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0055,Aronu2011,Aronu_2011_VLE.csv,55,,,0.3,60,60,no,0.303,0.3015,,,,,,,Aronu2011|w=0.3|T=60,,yes,vle_0064,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0056,Aronu2011,Aronu_2011_VLE.csv,56,,,0.3,60,60,no,0.36,0.6436,,,,,,,Aronu2011|w=0.3|T=60,,yes,vle_0065,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0057,Aronu2011,Aronu_2011_VLE.csv,57,,,0.3,60,60,no,0.393,1.097,,,,,,,Aronu2011|w=0.3|T=60,,yes,vle_0066,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0058,Aronu2011,Aronu_2011_VLE.csv,58,,,0.3,60,60,no,0.428,2.5014,,,,,,,Aronu2011|w=0.3|T=60,,yes,vle_0067,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0059,Aronu2011,Aronu_2011_VLE.csv,59,,,0.3,60,60,no,0.491,13.558,,,,,,,Aronu2011|w=0.3|T=60,,yes,vle_0068,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0060,Aronu2011,Aronu_2011_VLE.csv,60,,,0.3,80,80,no,0.017,0.0056,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0083,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0061,Aronu2011,Aronu_2011_VLE.csv,61,,,0.3,80,80,no,0.04,0.0219,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0084,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0062,Aronu2011,Aronu_2011_VLE.csv,62,,,0.3,80,80,no,0.075,0.0557,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0085,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0063,Aronu2011,Aronu_2011_VLE.csv,63,,,0.3,80,80,no,0.122,0.1406,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0086,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0064,Aronu2011,Aronu_2011_VLE.csv,64,,,0.3,80,80,no,0.155,0.2485,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0087,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0065,Aronu2011,Aronu_2011_VLE.csv,65,,,0.3,80,80,no,0.216,0.6137,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0088,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0066,Aronu2011,Aronu_2011_VLE.csv,66,,,0.3,80,80,no,0.271,1.2538,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0089,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0067,Aronu2011,Aronu_2011_VLE.csv,67,,,0.3,80,80,no,0.347,3.7522,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0090,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0068,Aronu2011,Aronu_2011_VLE.csv,68,,,0.3,80,80,no,0.4,7.9387,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0091,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0069,Aronu2011,Aronu_2011_VLE.csv,69,,,0.3,80,80,no,0.398,8.3031,,,,,,,Aronu2011|w=0.3|T=80,,yes,vle_0092,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.,
vle_obs_0070,Aronu2011,Aronu_2011_VLE.csv,70,,,0.45,40,,no,0.141,0.0035,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0071,Aronu2011,Aronu_2011_VLE.csv,71,,,0.45,40,,no,0.148,0.0035,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0072,Aronu2011,Aronu_2011_VLE.csv,72,,,0.45,40,,no,0.195,0.0077,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0073,Aronu2011,Aronu_2011_VLE.csv,73,,,0.45,40,,no,0.217,0.0099,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0074,Aronu2011,Aronu_2011_VLE.csv,74,,,0.45,40,,no,0.234,0.0123,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0075,Aronu2011,Aronu_2011_VLE.csv,75,,,0.45,40,,no,0.276,0.0164,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0076,Aronu2011,Aronu_2011_VLE.csv,76,,,0.45,40,,no,0.271,0.0178,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0077,Aronu2011,Aronu_2011_VLE.csv,77,,,0.45,40,,no,0.3,0.0364,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0078,Aronu2011,Aronu_2011_VLE.csv,78,,,0.45,40,,no,0.354,0.0598,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0079,Aronu2011,Aronu_2011_VLE.csv,79,,,0.45,40,,no,0.39,0.1087,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0080,Aronu2011,Aronu_2011_VLE.csv,80,,,0.45,40,,no,0.404,0.1781,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0081,Aronu2011,Aronu_2011_VLE.csv,81,,,0.45,40,,no,0.428,0.2787,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0082,Aronu2011,Aronu_2011_VLE.csv,82,,,0.45,40,,no,0.464,0.9173,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0083,Aronu2011,Aronu_2011_VLE.csv,83,,,0.45,40,,no,0.475,2.1609,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0084,Aronu2011,Aronu_2011_VLE.csv,84,,,0.45,40,,no,0.497,5.4871,,,,,,,Aronu2011|w=0.45|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0085,Aronu2011,Aronu_2011_VLE.csv,85,,,0.45,60,,no,0.045,0.0019,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0086,Aronu2011,Aronu_2011_VLE.csv,86,,,0.45,60,,no,0.087,0.0059,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0087,Aronu2011,Aronu_2011_VLE.csv,87,,,0.45,60,,no,0.12,0.0099,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0088,Aronu2011,Aronu_2011_VLE.csv,88,,,0.45,60,,no,0.169,0.0205,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0089,Aronu2011,Aronu_2011_VLE.csv,89,,,0.45,60,,no,0.232,0.0787,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0090,Aronu2011,Aronu_2011_VLE.csv,90,,,0.45,60,,no,0.269,0.1284,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0091,Aronu2011,Aronu_2011_VLE.csv,91,,,0.45,60,,no,0.352,0.4279,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0092,Aronu2011,Aronu_2011_VLE.csv,92,,,0.45,60,,no,0.392,1.4259,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0093,Aronu2011,Aronu_2011_VLE.csv,93,,,0.45,60,,no,0.454,4.6349,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0094,Aronu2011,Aronu_2011_VLE.csv,94,,,0.45,60,,no,0.46,6.2928,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0095,Aronu2011,Aronu_2011_VLE.csv,95,,,0.45,60,,no,0.471,8.29,,,,,,,Aronu2011|w=0.45|T=60,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0096,Aronu2011,Aronu_2011_VLE.csv,96,,,0.45,80,,no,0.017,0.0008,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0097,Aronu2011,Aronu_2011_VLE.csv,97,,,0.45,80,,no,0.027,0.0023,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0098,Aronu2011,Aronu_2011_VLE.csv,98,,,0.45,80,,no,0.038,0.0056,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0099,Aronu2011,Aronu_2011_VLE.csv,99,,,0.45,80,,no,0.045,0.006,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0100,Aronu2011,Aronu_2011_VLE.csv,100,,,0.45,80,,no,0.061,0.0099,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0101,Aronu2011,Aronu_2011_VLE.csv,101,,,0.45,80,,no,0.086,0.0288,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0102,Aronu2011,Aronu_2011_VLE.csv,102,,,0.45,80,,no,0.109,0.0529,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0103,Aronu2011,Aronu_2011_VLE.csv,103,,,0.45,80,,no,0.135,0.1236,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0104,Aronu2011,Aronu_2011_VLE.csv,104,,,0.45,80,,no,0.236,0.3981,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0105,Aronu2011,Aronu_2011_VLE.csv,105,,,0.45,80,,no,0.389,4.5002,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0106,Aronu2011,Aronu_2011_VLE.csv,106,,,0.45,80,,no,0.435,11.249,,,,,,,Aronu2011|w=0.45|T=80,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0107,Hilliard2008,Hilliard_2008_VLE.csv,1,,,0.17,40,,no,0.121,0.00555,0.00391,6.88,,6.88946,,,Hilliard2008|w=0.17|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0108,Hilliard2008,Hilliard_2008_VLE.csv,2,,,0.17,40,,no,0.212,0.014,0.00341,6.971,,6.98841,,,Hilliard2008|w=0.17|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0109,Hilliard2008,Hilliard_2008_VLE.csv,3,,,0.17,40,,no,0.3,0.0362,0.00281,6.98,,7.01901,,,Hilliard2008|w=0.17|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0110,Hilliard2008,Hilliard_2008_VLE.csv,4,,,0.17,40,,no,0.369,0.116,0.00224,7.024,,7.14224,,,Hilliard2008|w=0.17|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0111,Hilliard2008,Hilliard_2008_VLE.csv,5,,,0.17,40,,no,0.467,0.879,0.00168,7.058,,7.93868,,,Hilliard2008|w=0.17|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0112,Hilliard2008,Hilliard_2008_VLE.csv,6,,,0.17,40,,no,0.552,8.56,0.00098,7.128,,15.68898,,,Hilliard2008|w=0.17|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
