observation_id,measurement_origin,measured_primitive,derivation_or_correction,observed_pco2_kpa,uncertainty_value,uncertainty_unit,uncertainty_status,covariance_status,source_locator,state_pressure_pa,pressure_specification,target_eligible,eligibility_reason
vle_obs_0013,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,7.8861,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0014,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,16.0024,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0015,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0042,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0016,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0056,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0017,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0068,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0018,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0078,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0019,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0094,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0020,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0151,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0021,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0234,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0022,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0417,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0023,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0965,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0024,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.1462,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0025,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,1.7998,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0026,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,5.409,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0027,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,8.2297,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0028,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0603,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0029,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.1315,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0030,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.3544,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0031,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.525,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0032,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,3.6374,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0033,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,6.3092,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0034,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0016,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0035,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0123,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0036,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0246,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0037,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0603,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0038,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0851,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0039,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.1835,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0040,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.2928,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0041,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.3188,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0042,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.3809,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0043,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.5702,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0044,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,1.0662,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0045,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,1.8326,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0046,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,1.8278,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0047,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,2.3193,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0048,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,2.8577,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0049,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,8.5583,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0050,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,11.812,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0051,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0045,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0052,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0154,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0053,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0427,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0054,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.1348,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0055,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.3015,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0056,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.6436,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0057,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,1.097,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0058,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,2.5014,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0059,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,13.558,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0060,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0056,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0061,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0219,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0062,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0557,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0063,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.1406,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0064,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.2485,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0065,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.6137,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0066,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,1.2538,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0067,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,3.7522,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0068,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,7.9387,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0069,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,8.3031,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0070,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0035,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0071,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0035,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0072,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0077,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0073,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0099,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0074,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0123,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0075,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0164,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0076,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0178,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0077,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0364,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0078,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0598,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0079,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.1087,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0080,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.1781,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0081,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.2787,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0082,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.9173,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0083,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,2.1609,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0084,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,5.4871,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0085,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0019,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0086,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0059,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0087,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0099,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0088,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0205,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0089,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0787,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0090,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.1284,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0091,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.4279,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
