membership_id,state_id,source_key,source_file,source_row_index,row_status,temperature_C,mea_mass_fraction,co2_loading_mol_per_mol_mea,species,measurement_role,reported_basis,conversion_eligible,lifecycle_status,target_membership,target_eligible,eligibility_reason
Bottinger2008_state_002|MEA,Bottinger2008_state_002,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,2,reported,20,0.2,0.267,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_002|MEAH+,Bottinger2008_state_002,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,2,reported,20,0.2,0.267,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_002|MEACOO-,Bottinger2008_state_002,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,2,reported,20,0.2,0.267,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_002|HCO3-,Bottinger2008_state_002,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,2,reported,20,0.2,0.267,HCO3-,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_002|CO3^2-,Bottinger2008_state_002,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,2,reported,20,0.2,0.267,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_002|H3O+,Bottinger2008_state_002,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,2,reported,20,0.2,0.267,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_002|OH-,Bottinger2008_state_002,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,2,reported,20,0.2,0.267,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_002|MEA + MEAH+,Bottinger2008_state_002,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,2,reported,20,0.2,0.267,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_003|CO2,Bottinger2008_state_003,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,3,reported,20,0.2,0.332,CO2,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_003|MEA,Bottinger2008_state_003,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,3,reported,20,0.2,0.332,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_003|MEAH+,Bottinger2008_state_003,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,3,reported,20,0.2,0.332,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_003|MEACOO-,Bottinger2008_state_003,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,3,reported,20,0.2,0.332,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_003|HCO3-,Bottinger2008_state_003,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,3,reported,20,0.2,0.332,HCO3-,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_003|CO3^2-,Bottinger2008_state_003,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,3,reported,20,0.2,0.332,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_003|H3O+,Bottinger2008_state_003,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,3,reported,20,0.2,0.332,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_003|OH-,Bottinger2008_state_003,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,3,reported,20,0.2,0.332,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_003|MEA + MEAH+,Bottinger2008_state_003,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,3,reported,20,0.2,0.332,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_004|CO2,Bottinger2008_state_004,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,4,reported,20,0.2,0.474,CO2,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_004|MEA,Bottinger2008_state_004,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,4,reported,20,0.2,0.474,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_004|MEAH+,Bottinger2008_state_004,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,4,reported,20,0.2,0.474,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_004|MEACOO-,Bottinger2008_state_004,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,4,reported,20,0.2,0.474,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_004|HCO3-,Bottinger2008_state_004,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,4,reported,20,0.2,0.474,HCO3-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_004|CO3^2-,Bottinger2008_state_004,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,4,reported,20,0.2,0.474,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_004|H3O+,Bottinger2008_state_004,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,4,reported,20,0.2,0.474,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_004|OH-,Bottinger2008_state_004,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,4,reported,20,0.2,0.474,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_004|MEA + MEAH+,Bottinger2008_state_004,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,4,reported,20,0.2,0.474,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_005|CO2,Bottinger2008_state_005,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,5,reported,20,0.2,0.542,CO2,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_005|MEA,Bottinger2008_state_005,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,5,reported,20,0.2,0.542,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_005|MEAH+,Bottinger2008_state_005,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,5,reported,20,0.2,0.542,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_005|MEACOO-,Bottinger2008_state_005,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,5,reported,20,0.2,0.542,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_005|HCO3-,Bottinger2008_state_005,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,5,reported,20,0.2,0.542,HCO3-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_005|CO3^2-,Bottinger2008_state_005,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,5,reported,20,0.2,0.542,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_005|H3O+,Bottinger2008_state_005,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,5,reported,20,0.2,0.542,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_005|OH-,Bottinger2008_state_005,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,5,reported,20,0.2,0.542,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_005|MEA + MEAH+,Bottinger2008_state_005,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,5,reported,20,0.2,0.542,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_006|CO2,Bottinger2008_state_006,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,6,reported,20,0.2,0.756,CO2,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_006|MEA,Bottinger2008_state_006,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,6,reported,20,0.2,0.756,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_006|MEAH+,Bottinger2008_state_006,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,6,reported,20,0.2,0.756,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_006|MEACOO-,Bottinger2008_state_006,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,6,reported,20,0.2,0.756,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_006|HCO3-,Bottinger2008_state_006,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,6,reported,20,0.2,0.756,HCO3-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_006|CO3^2-,Bottinger2008_state_006,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,6,reported,20,0.2,0.756,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_006|H3O+,Bottinger2008_state_006,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,6,reported,20,0.2,0.756,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_006|OH-,Bottinger2008_state_006,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,6,reported,20,0.2,0.756,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_006|MEA + MEAH+,Bottinger2008_state_006,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,6,reported,20,0.2,0.756,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_007|CO2,Bottinger2008_state_007,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,7,reported,20,0.2,0.89,CO2,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_007|MEA,Bottinger2008_state_007,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,7,reported,20,0.2,0.89,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_007|MEAH+,Bottinger2008_state_007,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,7,reported,20,0.2,0.89,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_007|MEACOO-,Bottinger2008_state_007,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,7,reported,20,0.2,0.89,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_007|HCO3-,Bottinger2008_state_007,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,7,reported,20,0.2,0.89,HCO3-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_007|CO3^2-,Bottinger2008_state_007,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,7,reported,20,0.2,0.89,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_007|H3O+,Bottinger2008_state_007,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,7,reported,20,0.2,0.89,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_007|OH-,Bottinger2008_state_007,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,7,reported,20,0.2,0.89,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_007|MEA + MEAH+,Bottinger2008_state_007,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,7,reported,20,0.2,0.89,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_008|CO2,Bottinger2008_state_008,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,8,reported,20,0.2,1.074,CO2,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_008|MEA,Bottinger2008_state_008,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,8,reported,20,0.2,1.074,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_008|MEAH+,Bottinger2008_state_008,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,8,reported,20,0.2,1.074,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_008|MEACOO-,Bottinger2008_state_008,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,8,reported,20,0.2,1.074,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_008|HCO3-,Bottinger2008_state_008,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,8,reported,20,0.2,1.074,HCO3-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_008|CO3^2-,Bottinger2008_state_008,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,8,reported,20,0.2,1.074,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_008|H3O+,Bottinger2008_state_008,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,8,reported,20,0.2,1.074,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_008|OH-,Bottinger2008_state_008,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,8,reported,20,0.2,1.074,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_008|MEA + MEAH+,Bottinger2008_state_008,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,8,reported,20,0.2,1.074,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_009|CO2,Bottinger2008_state_009,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,9,reported,40,0.2,0.099,CO2,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_009|MEA,Bottinger2008_state_009,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,9,reported,40,0.2,0.099,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_009|MEAH+,Bottinger2008_state_009,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,9,reported,40,0.2,0.099,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_009|MEACOO-,Bottinger2008_state_009,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,9,reported,40,0.2,0.099,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_009|HCO3-,Bottinger2008_state_009,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,9,reported,40,0.2,0.099,HCO3-,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_009|CO3^2-,Bottinger2008_state_009,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,9,reported,40,0.2,0.099,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_009|H3O+,Bottinger2008_state_009,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,9,reported,40,0.2,0.099,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_009|OH-,Bottinger2008_state_009,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,9,reported,40,0.2,0.099,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_009|MEA + MEAH+,Bottinger2008_state_009,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,9,reported,40,0.2,0.099,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_010|CO2,Bottinger2008_state_010,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,10,reported,40,0.2,0.197,CO2,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_010|MEA,Bottinger2008_state_010,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,10,reported,40,0.2,0.197,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_010|MEAH+,Bottinger2008_state_010,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,10,reported,40,0.2,0.197,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_010|MEACOO-,Bottinger2008_state_010,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,10,reported,40,0.2,0.197,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_010|HCO3-,Bottinger2008_state_010,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,10,reported,40,0.2,0.197,HCO3-,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_010|CO3^2-,Bottinger2008_state_010,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,10,reported,40,0.2,0.197,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_010|H3O+,Bottinger2008_state_010,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,10,reported,40,0.2,0.197,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_010|OH-,Bottinger2008_state_010,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,10,reported,40,0.2,0.197,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_010|MEA + MEAH+,Bottinger2008_state_010,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,10,reported,40,0.2,0.197,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_011|CO2,Bottinger2008_state_011,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,11,reported,40,0.2,0.282,CO2,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_011|MEA,Bottinger2008_state_011,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,11,reported,40,0.2,0.282,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_011|MEAH+,Bottinger2008_state_011,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,11,reported,40,0.2,0.282,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_011|MEACOO-,Bottinger2008_state_011,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,11,reported,40,0.2,0.282,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
