observation_id,data_family,source_key,group_id,split,role,source_path,reason
AMU-DENS-011,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.50|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-012,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.70|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-013,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.90|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-014,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=1.00|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-015,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.20|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-016,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.30|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-017,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.40|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-018,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.50|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-019,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.70|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-020,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.90|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-021,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=1.00|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-022,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.20|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-023,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.30|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-024,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.40|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-025,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.50|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-026,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.70|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-027,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.90|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-028,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=1.00|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-029,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.20|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-030,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.30|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-031,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.40|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-032,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.50|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-033,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.70|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-034,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.90|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-035,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=1.00|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-036,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-037,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-038,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-039,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-040,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-041,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-042,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-043,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-044,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-045,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-046,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-047,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-048,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-049,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-050,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-051,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-052,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-053,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-054,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-055,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-056,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-057,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-058,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-059,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.20|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-060,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-061,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-062,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-063,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-064,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-065,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-066,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-067,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-068,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-069,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-070,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-071,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-072,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-073,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-074,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-075,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-076,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-077,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-078,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-079,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-080,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-081,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-082,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.30|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-083,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-084,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-085,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-086,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-087,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-088,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-089,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-090,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-091,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-092,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-093,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-094,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-095,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=50,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-096,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-097,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-098,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-099,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=70,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-100,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-101,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-102,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-103,reactive_mea_density,Amundsen2009,Amundsen2009|loaded|w=0.40|T=80,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AUG-ACE-29815-001,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=298.15,training,future_training,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve admitted for future calibration.
AUG-ACE-29815-002,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=298.15,training,future_training,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve admitted for future calibration.
AUG-ACE-29815-003,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=298.15,training,future_training,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve admitted for future calibration.
AUG-ACE-29815-004,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=298.15,training,future_training,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve admitted for future calibration.
AUG-ACE-29815-005,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=298.15,training,future_training,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve admitted for future calibration.
AUG-ACE-29815-006,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=298.15,training,future_training,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve admitted for future calibration.
AUG-ACE-29815-007,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=298.15,training,future_training,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve admitted for future calibration.
AUG-ACE-30315-001,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=303.15,validation,reserved_validation,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve reserved.
AUG-ACE-30315-002,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=303.15,validation,reserved_validation,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve reserved.
AUG-ACE-30315-003,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=303.15,validation,reserved_validation,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve reserved.
AUG-ACE-30315-004,ethanolammonium_carboxylate_density,Augusto2022,Augusto2022|acetate|T=303.15,validation,reserved_validation,data/reference/MEA/observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,Complete source/salt/temperature composition curve reserved.
